Username,Worked,Billed,Planned,2019-10-7,2019-10-8,2019-10-9,2019-10-10,2019-10-11,2019-10-12,2019-10-13,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-19,2019-10-20,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-1,2019-11-2,2019-11-3,2019-11-4,2019-11-5,2019-11-6
roberto,171.5,171.5,0,8,8,8,8,8,0,0,8,8.5,8,8.5,8.5,0,0,8,8,8,8,9,0,0,8,0,8,9,0,0,0,8,8,8
roberto,177,177,0,8,8,0,0,8,8,8,8,8,0,0,8,8,8,9,8.5,0,0,8,8.5,8,9,8,0,0,8,10,8,8,4,0
roberto,102,102,0,0,0,8,8.5,8.5,8,3.5,0,9,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,8.5
roberto,187.5,187.5,0,8.5,8.5,8,4,0,8.5,8,8,8,10,4,0,8,8,8,0,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8
roberto,167,167,0,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8.5,8,6.5,8,0,0,8
roberto,181.25,181.25,0,8,8.25,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8.5,8,12,8.5,4,0,8,8,4,0
roberto,172.5,172.5,0,0,0,0,9,9,8.5,9,8,0,0,9,9,10,9,9.5,0,0,8,8,8,9,4,0,0,9,9,9.5,9,9,0,0
roberto,179,179,0,9,9,8,9.5,0,0,0,9,8,8,8,4,0,0,8,8,8,8,8,0,0,9,8.5,8,8,9,0,0,8,8,8
roberto,184,184,0,8,8,0,0,8,8.5,8,8,8,0,0,8,8,8,10,8,0,0,8.5,8,10,8,7,0,0,8,8,10,10,8,0
roberto,136,136,0,0,8,9,9,8,8,0,0,8,8,10,9,8,0,0,9,10,9,9,6,0,0,0,0,0,0,0,0,0,8,0
roberto,109,109,0,0,0,0,0,0,9,9,9,4,0,0,0,8,8,8,8,8,0,0,0,0,0,0,0,0,0,8,8,7,9,6
roberto,159,159,0,0,0,9,8,8,8,6,0,0,8,8,8,8.5,7,0,0,9,9,8,8,8,0,0,9,8,8,9,0,3,0,1.5
roberto,173.75,173.75,0,9,10.5,9.5,12.5,0,0,8,9,8,8,9.5,0,0,8,8.5,8,8,9.25,0,0,0,8,8,7,0,0,0,0,8,8,9
roberto,153.5,153.5,0,7,0,0,8,8,8.5,8.5,8,0,0,8,8,8,8,8,0,0,9,8,8,8,8,0,0,0,0,8,8.5,8,0,0
roberto,91,91,0,8,8,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,8,0,4,0,8,9,8
